Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,06/26/2024,"Payment to Chase card ending in 6118 06/26",-1000.00,LOAN_PMT,206499.95,,
DEBIT,06/26/2024,"Payment to Chase card ending in 6118 06/26",-3000.00,LOAN_PMT,207499.95,,
DEBIT,06/25/2024,"Online Transfer to CHK ...3911 transaction#: 21201948434 06/25",-1000.00,ACCT_XFER,210499.95,,
DEBIT,06/24/2024,"Payment to Chase card ending in 6118 06/24",-1000.00,LOAN_PMT,211499.95,,
DEBIT,06/24/2024,"Payment to Chase card ending in 6118 06/24",-2000.00,LOAN_PMT,212499.95,,
DEBIT,06/21/2024,"ONLINE US DOLLAR INTL WIRE FEE",-40.00,FEE_TRANSACTION,214499.95,,
DEBIT,06/21/2024,"ONLINE INTERNATIONAL WIRE TRANSFER VIA: CITIBANK N.A./0008 A/C: CITIBANK N.A. ASUNCION PARAGUAY PY BEN: ADMINISTRATION NACIONAL DE ELECTRICASUNCION PY REF: DELTA MINING PARAGUAY S.A. 3290321 BUSINESS EXPENSES SSN: 00517615 TRN: 3579664173ES 06/21",-97000.00,WIRE_OUTGOING,214539.95,,
DEBIT,06/17/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,311539.95,,
DEBIT,06/17/2024,"Payment to Chase card ending in 6118 06/17",-7000.00,LOAN_PMT,311554.95,,
CREDIT,06/17/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY/CHGS/USD0,/CHGS/USD52,00/OCMT/USD126466,/ TRN: 3547483165FS",126414.00,WIRE_INCOMING,318554.95,,
DEBIT,06/14/2024,"Payment to Chase card ending in 6118 06/14",-1000.00,LOAN_PMT,192140.95,,
DEBIT,06/12/2024,"Payment to Chase card ending in 6118 06/12",-1000.00,LOAN_PMT,193140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-1000.00,LOAN_PMT,194140.95,,
DEBIT,06/10/2024,"Online Transfer to CHK ...3911 transaction#: 21051829129 06/10",-2000.00,ACCT_XFER,195140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-500.00,LOAN_PMT,197140.95,,
DEBIT,06/10/2024,"Payment to Chase card ending in 6118 06/10",-3000.00,LOAN_PMT,197640.95,,
DEBIT,06/04/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,200640.95,,
DEBIT,06/04/2024,"Payment to Chase card ending in 6118 06/04",-2000.00,LOAN_PMT,200655.95,,
CREDIT,06/04/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: N 001-002-080524 ENERGY GM2.2 APRIL/OCMT/USD3565,26/INS/REVOGB2LXXX TRN: 0032353156JS",3565.26,WIRE_INCOMING,202655.95,,
DEBIT,06/03/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,199090.69,,
DEBIT,06/03/2024,"Online Transfer to CHK ...3911 transaction#: 20980031423 06/03",-2000.00,ACCT_XFER,199105.69,,
CREDIT,06/03/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/SEPTEMBER HOSTING SSN: 00579200 TRN: 0141382155FC",43252.59,WIRE_INCOMING,201105.69,,
DEBIT,05/31/2024,"MONTHLY SERVICE FEE",-15.00,FEE_TRANSACTION,157853.10,,
DEBIT,05/31/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,157868.10,,
CREDIT,05/31/2024,"BOOK TRANSFER CREDIT B/O: INTESA SANPAOLO SPA MILANO ITALY IT ORG:/IT96C0306901856161009302072 ALPS BLOCKCHAIN SPA OGB: INTESA SANPAOLO SPA PIAZZA DELLA SCALA 6 REF: PAYMENT ENERGY AYOLAS DELTA/CHGS/USD0,/CHGS/USD52,00/OCMT/USD115802,/ TRN: 4173742150FS",115750.00,WIRE_INCOMING,157883.10,,
DEBIT,05/29/2024,"Payment to Chase card ending in 6118 05/29",-1000.00,LOAN_PMT,42133.10,,
DEBIT,05/28/2024,"Payment to Chase card ending in 6118 05/28",-1000.00,LOAN_PMT,43133.10,,
DEBIT,05/24/2024,"Payment to Chase card ending in 6118 05/24",-1000.00,LOAN_PMT,44133.10,,
DEBIT,05/22/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,45133.10,,
CREDIT,05/22/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/APRIL POWER SSN: 00458021 TRN: 0114884143FC",44093.18,WIRE_INCOMING,45148.10,,
DEBIT,05/20/2024,"Payment to Chase card ending in 6118 05/20",-2000.00,LOAN_PMT,1054.92,,
DEBIT,05/20/2024,"Online Transfer to CHK ...3911 transaction#: 20838792421 05/20",-4000.00,ACCT_XFER,3054.92,,
DEBIT,05/14/2024,"Payment to Chase card ending in 6118 05/14",-1000.00,LOAN_PMT,7054.92,,
DEBIT,05/07/2024,"Payment to Chase card ending in 6118 05/07",-2000.00,LOAN_PMT,8054.92,,
DEBIT,05/03/2024,"Payment to Chase card ending in 6118 05/03",-4000.00,LOAN_PMT,10054.92,,
DEBIT,05/01/2024,"STANDARD ACH PMNTS INITIAL FEE",-2.50,FEE_TRANSACTION,14054.92,,
DEBIT,05/01/2024,"Payment to Chase card ending in 6118 05/01",-2000.00,LOAN_PMT,14057.42,,
DEBIT,04/29/2024,"Payment to Chase card ending in 6118 04/29",-2000.00,LOAN_PMT,16057.42,,
