Card,Transaction Date,Post Date,Description,Category,Type,Amount,Memo
6118,03/31/2025,03/31/2025,Payment Thank You-Mobile,,Payment,2000.00,
6118,03/31/2025,03/31/2025,Payment Thank You-Mobile,,Payment,1500.00,
6118,03/30/2025,03/31/2025,PAES E DOCES PARATI,Food & Drink,Sale,-11.31,
6134,03/28/2025,03/30/2025,SABOR LAS LENAS,Food & Drink,Sale,-10.81,
6134,03/28/2025,03/30/2025,BR LINAGUA,Gas,Sale,-7.35,
6134,03/28/2025,03/30/2025,SHELL AYOLAS,Gas,Sale,-26.77,
6134,03/27/2025,03/28/2025,SABOR LAS LENAS,Food & Drink,Sale,-6.91,
6134,03/27/2025,03/28/2025,BR LINAGUA,Gas,Sale,-3.87,
6134,03/26/2025,03/27/2025,SABOR LAS LENAS,Food & Drink,Sale,-5.00,
6134,03/26/2025,03/27/2025,SABOR LAS LENAS,Food & Drink,Sale,-11.50,
6134,03/26/2025,03/27/2025,BR LINAGUA,Gas,Sale,-5.00,
6118,03/26/2025,03/27/2025,UPWORK * -792941062,Professional Services,Sale,-4605.50,
6118,03/26/2025,03/26/2025,Payment Thank You-Mobile,,Payment,4600.00,
6118,03/25/2025,03/26/2025,DELTA PROP SHOP,Professional Services,Sale,-1.00,
6118,03/25/2025,03/26/2025,DAILY.AI,Office & Shipping,Sale,-299.00,
6118,03/25/2025,03/26/2025,DELTA PROP SHOP,Professional Services,Sale,-1.00,
6118,03/25/2025,03/26/2025,DELTA PROP SHOP,Professional Services,Sale,-3.00,
6118,03/25/2025,03/26/2025,DAILY.AI,Office & Shipping,Sale,-299.00,
6118,03/25/2025,03/26/2025,DELTA PROP SHOP,Professional Services,Sale,-1.00,
6134,03/24/2025,03/25/2025,SABOR LAS LENAS,Food & Drink,Sale,-5.50,
6134,03/24/2025,03/25/2025,SABOR LAS LENAS,Food & Drink,Sale,-6.89,
6134,03/24/2025,03/25/2025,BR LINAGUA,Gas,Sale,-5.45,
6134,03/22/2025,03/25/2025,PETROPAR - AYOLAS,Gas,Sale,-50.12,
4236,03/23/2025,03/24/2025,707-652-3328ADAPTDMIND,Education,Sale,-9.95,
6134,03/23/2025,03/24/2025,HOTEL Y RESTAURANTE MARIM,Travel,Sale,-17.04,
6134,03/24/2025,03/24/2025,FOREMAN.MN,Office & Shipping,Sale,-594.00,
6134,03/21/2025,03/23/2025,BR LINAGUA,Gas,Sale,-4.52,
6134,03/21/2025,03/23/2025,SABOR LAS LENAS,Food & Drink,Sale,-12.81,
6118,03/22/2025,03/23/2025,GITHUB  INC.,Professional Services,Sale,-53.28,
6118,03/21/2025,03/23/2025,DREAMHOST,Bills & Utilities,Sale,-7.99,
6134,03/20/2025,03/21/2025,FERRETERIA MONSERRAT,Repair & Maintenance,Sale,-38.42,
6134,03/20/2025,03/21/2025,SABOR LAS LENAS,Food & Drink,Sale,-14.77,
6134,03/20/2025,03/21/2025,BR LINAGUA,Gas,Sale,-3.44,
6134,03/20/2025,03/21/2025,COMERCIAL HM,Merchandise & Inventory,Sale,-17.52,
6118,03/21/2025,03/21/2025,XFINITY MOBILE,Bills & Utilities,Sale,-202.94,
4236,03/19/2025,03/20/2025,TIINGO.COM,Office & Shipping,Sale,-30.00,
6134,03/19/2025,03/20/2025,SABOR LAS LENAS,Food & Drink,Sale,-13.55,
6134,03/19/2025,03/20/2025,BR LINAGUA,Gas,Sale,-3.26,
6118,03/19/2025,03/20/2025,POLYGON.IO DATA API,Office & Shipping,Sale,-199.99,
6118,03/19/2025,03/20/2025,TIINGO.COM,Office & Shipping,Sale,-30.00,
